ID,x,y
2538,3755,223
2539,3762,5965
2540,3764,223
2541,3764,4692
2542,3776,2164
2543,3778,140
2544,3786,4501
2545,3793,4167
2546,3800,5805
2547,3806,3578
2548,3816,3412
2549,3817,752
2550,3821,883
2551,3842,69
2552,3842,3694
2553,3844,2444
2554,3850,5922
2555,3855,2295
2556,3856,2271
2557,3865,405
2558,3867,2366
2559,3894,6405
2560,3895,3775
2561,3895,6103
2562,3899,3836
2563,3900,351
2564,3923,166
2565,3929,3891
2566,3939,6271
2567,3948,2584
2568,3948,6480
2569,3952,85
2570,3960,6482
2571,3962,4348
2572,3965,5943
2573,3967,6478
2574,3995,5047
2575,3996,1134
2576,3997,4328
2577,4000,3655
2578,4001,199
2579,4006,1267
2580,4015,6097
2581,4020,1354
2582,4039,5797
2583,4050,394
2584,4064,4476
2585,4118,4044
2586,4121,860
2587,4124,775
2588,4128,3060
2589,4133,6493
2590,4134,3770
2591,4138,674
2592,4142,4643
2593,4148,4141
2594,4150,5392
2595,4164,625
2596,4165,5899
2597,4167,1125
2598,4176,1589
2599,4189,459
2600,4189,676
2601,4190,4813
2602,4200,2855
2603,4202,2915
2604,4211,3900
2605,4214,264
2606,4215,4373
2607,4226,3568
2608,4233,4721
2609,4245,299
2610,4265,310
2611,4271,2229
2612,4275,766
2613,4278,4323
2614,4279,4564
2615,4281,296
2616,4281,546
2617,4294,214
2618,4309,426
2619,4315,167
2620,4332,4633
2621,4337,1538
2622,4350,6298
2623,4354,4958
2624,4364,3000
2625,4383,1250
2626,4383,3839
2627,4395,3199
2628,4396,5995
2629,4397,2992
2630,4404,772
2631,4413,1167
2632,4415,1771
2633,4418,5907
2634,4422,6218
2635,4433,420
2636,4443,3319
2637,4480,1422
2638,4484,3262
2639,4487,3731
2640,4489,2622
2641,4489,6471
2642,4490,5586
2643,4494,2949
2644,4496,3607
2645,4506,5201
2646,4511,1964
2647,4525,3704
2648,4533,1312
2649,4534,3319
2650,4539,1288
2651,4539,1766
2652,4539,3683
2653,4543,3816
2654,4560,3782
2655,4566,1216
2656,4574,3893
2657,4575,5012
2658,4591,1255
2659,4592,3692
2660,4609,1779
2661,4640,3741
2662,4648,3075
2663,4654,4610
2664,4662,3
2665,4666,3766
2666,4677,3556
2667,4679,1220
2668,4683,5206
2669,4685,294
2670,4688,5222
2671,4691,5474
2672,4699,3606
2673,4706,4270
2674,4707,5328
2675,4731,3345
2676,4742,4157
2677,4763,3749
2678,4772,1651
2679,4774,4986
2680,4785,2994
2681,4794,2582
2682,4796,3063
2683,4797,2375
2684,4802,176
2685,4806,1582
2686,4812,4957
2687,4814,2
2688,4824,5395
2689,4824,5826
2690,4835,180
2691,4841,3465
2692,4857,3745
2693,4862,2409
2694,4863,2201
2695,4863,4117
2696,4870,2222
2697,4870,4605
2698,4886,2750
2699,4888,3620
2700,4890,3968
2701,4890,4537
2702,4895,3287
2703,4912,2406
2704,4931,3785
2705,4942,3300
2706,4943,3619
2707,4967,2596
2708,4971,54
2709,4973,2188
2710,4977,94
2711,4987,6427
2712,4989,3543
2713,4996,1720
2714,4997,4495
2715,5005,2671
2716,5005,5596
2717,5013,4189
2718,5015,3417
2719,5027,3269
2720,5040,6146
2721,5044,3089
2722,5056,2180
2723,5065,3081
2724,5069,3262
2725,5081,3461
2726,5087,3733
2727,5097,3507
2728,5102,3459
2729,5120,2968
2730,5132,3002
2731,5147,5766
2732,5159,3216
2733,5164,3758
2734,5178,1709
2735,5182,3146
2736,5185,3047
2737,5217,3792
2738,5242,3869
2739,5271,5703
2740,5316,3674
2741,5339,1702
2742,5346,3189
2743,5391,3908
2744,5392,2817
2745,5399,4030
2746,5416,6165
2747,5442,6225
2748,5458,2513
2749,5475,2405
2750,5484,3898
2751,5498,2414
2752,5514,5221
2753,5516,4043
2754,5527,5237
2755,5535,4263
2756,5536,2334
2757,5550,3326
2758,5550,4029
2759,5557,3882
2760,5580,4025
2761,5588,394
2762,5598,4031
2763,5602,6390
2764,5613,3589
2765,5615,5364
2766,5635,3716
2767,5639,6244
2768,5641,3859
2769,5647,4910
2770,5653,2428
2771,5657,4391
2772,5663,2473
2773,5673,2410
2774,5674,3570
2775,5678,2370
2776,5715,4806
2777,5738,3533
2778,5748,2431
2779,5749,1076
2780,5756,4392
2781,5759,2789
2782,5760,3983
2783,5763,6060
2784,5766,4615
2785,5767,3890
2786,5794,4035
2787,5799,1865
2788,5805,5401
2789,5829,3623
2790,5838,4186
2791,5840,748
2792,5850,4166
2793,5869,2052
2794,5874,3160
2795,5882,571
2796,5894,6224
2797,5898,6429
2798,5900,3563
2799,5901,4357
2800,5920,2516
2801,5921,1339
2802,5927,2668
2803,5960,1994
2804,5966,6176
2805,5974,2258
2806,6015,1894
2807,6021,534
2808,6023,336
2809,6034,3048
2810,6036,2258
2811,6041,2710
2812,6055,469
2813,6077,2424
2814,6080,399
2815,6083,450
2816,6093,5064
2817,6104,4406
2818,6105,5077
2819,6129,2867
2820,6153,1852
2821,6194,1889
2822,6225,2154
2823,6243,5731
2824,6283,4622
2825,6304,679
2826,6324,6477
2827,6331,6207
2828,6338,4279
2829,6347,330
2830,6366,2049
2831,6398,4010
2832,6401,3502
2833,6404,5063
2834,6453,3998
2835,6472,6151
2836,6484,688
2837,6504,5973
2838,6522,4447
2839,6559,3991
2840,6578,5996
2841,6582,5331
2842,6587,5171
2843,6623,2284
2844,6657,2127
2845,6672,6316
2846,6688,3418
2847,6696,2674
2848,6712,3206
2849,6720,2240
2850,6749,2397
2851,6832,1788
2852,6883,5610
2853,6893,4084
2854,6917,2490
2855,6953,1851
2856,6956,2880
2857,6997,2546
2858,6999,4363
2859,7015,2340
2860,7068,5269
2861,7091,1893
2862,7138,3133
2863,7150,4735
2864,7182,6264
2865,7203,1602
2866,7239,4920
2867,7256,3475
2868,7270,1799
2869,7297,2544
2870,7312,2452
2871,7313,5368
2872,7333,6069
2873,7354,6132
2874,7383,3231
2875,7399,3026
2876,7415,5523
2877,7470,4322
2878,7477,2403
2879,7523,3467
2880,7528,5463
2881,7543,5144
2882,7658,6240
2883,7666,4928
2884,7698,4171
2885,7742,2996
2886,7778,6070
2887,7788,6052
2888,7796,6160
2889,7816,3266
2890,7831,5159
2891,7859,3717
2892,7890,3161
2893,7943,2731
2894,7956,5106
2895,7977,4211
2896,8021,6194
2897,8090,5027
2898,8260,5998
2899,8283,3724
2900,8357,4351
2901,8372,6425
2902,8431,6202
2903,8445,4739
2904,8582,4609
2905,8633,5946
2906,8650,5946
2907,8716,6260
2908,8967,6096
